-0.21448,108.407,2.60879,-2.00785,111.512,4.52605,-6.85364,131.659,-0.718552,-5.75603,82.9464,15.7509,-23.0251,88.4879,11.7364,-17.2681,108.407,7.39674,14.5638,108.621,5.87371,22.487,90.2277,10.6192,9.93244,102.088,22.8417,-11.5121,76.9759,5.13906,8.05964,76.9079,2.87586
-0.560854,108.567,2.6852,-2.25979,111.512,4.53878,-7.50933,131.659,-1.28111,-5.8104,83.2927,15.0828,-23.0251,88.4879,11.7488,-17.2681,108.567,7.18811,14.2435,108.635,6.40368,21.4442,90.7915,11.3375,9.0619,101.644,23.3815,-11.5121,76.9759,5.14824,7.52289,76.9623,3.07657
-1.11116,108.621,2.8662,-2.51809,111.566,4.69931,-8.00528,131.659,-1.55709,-5.97052,83.8431,14.6,-23.0251,88.4879,11.7151,-17.2681,108.621,6.98619,13.8972,108.635,6.74619,20.5739,91.1379,11.6051,8.26043,100.896,23.3946,-11.5121,76.9759,5.1877,6.88075,76.9759,3.23576
-1.7533,108.635,3.05562,-2.7179,111.726,4.89531,-8.19154,131.659,-1.56178,-6.31689,84.4852,14.5408,-23.0251,88.4879,11.6113,-17.2681,108.635,6.8305,13.439,108.635,6.98757,19.827,91.298,11.5121,7.37633,100.014,23.0266,-11.5121,76.9759,5.27979,6.33044,76.9759,3.33099
-2.30361,108.635,3.1155,-2.82366,112.073,5.0748,-8.00528,131.713,-1.30013,-6.8672,85.0355,15.0489,-23.0251,88.4879,11.4938,-17.2681,108.635,6.77594,12.9832,108.635,7.2123,19.1032,91.3524,11.2612,6.33345,99.1172,22.5252,-11.5121,76.9759,5.41826,5.98407,76.9759,3.37049
-2.64998,108.635,3.00843,-2.86446,112.623,5.29244,-7.50933,131.874,-0.73449,-7.50933,85.3819,16.0161,-23.0251,88.4879,11.5046,-17.2681,108.635,6.8679,12.6368,108.635,7.43916,18.4069,91.366,11.055,5.27364,98.2608,22.1004,-11.5121,76.9759,5.5877,5.82395,76.9759,3.37501
-2.8101,108.581,2.82333,-2.87802,113.21,5.60553,-6.88075,132.165,0.207455,-8.05964,85.4876,17.0731,-23.0251,88.4336,11.7799,-17.2681,108.581,7.09669,12.3822,108.581,7.62991,17.8433,91.3116,11.0313,4.39089,97.4418,21.8034,-11.5121,76.9759,5.74845,5.76959,76.9215,3.37229
-2.8101,108.42,2.69725,-2.82366,113.601,6.00695,-6.27608,132.556,1.45902,-8.35166,85.3819,17.8596,-22.9707,88.2735,12.2986,-17.2137,108.42,7.3912,12.1847,108.42,7.7469,17.5513,91.1515,11.1674,3.92108,96.5754,21.5507,-11.4577,76.9759,5.87093,5.8104,76.7614,3.37701
-2.7179,108.128,2.67965,-2.7179,113.655,6.40851,-5.82395,132.851,2.70346,-8.40602,85.1034,18.2318,-22.8649,87.9814,12.8469,-17.108,108.128,7.64482,12.0321,108.128,7.79254,17.497,90.8595,11.3178,3.83004,95.5728,21.262,-11.352,76.9759,5.93681,5.91615,76.4694,3.39174
-2.53164,107.684,2.74184,-2.53164,113.371,6.72558,-5.47758,132.851,3.66247,-8.27412,84.6589,18.3005,-22.6786,87.5369,13.2317,-16.9217,107.684,7.81372,12.0186,107.684,7.80105,17.6288,90.4149,11.3488,3.93444,94.4316,20.937,-11.1657,76.9759,5.95091,6.10241,76.0248,3.4294
-2.27335,107.228,2.81782,-2.27335,112.969,6.92978,-5.16492,132.556,4.19303,-8.02938,84.203,18.3184,-22.4202,87.081,13.4622,-16.6634,107.228,7.89622,12.1711,107.228,7.80139,17.8735,89.959,11.1928,4.10091,93.4116,20.6233,-10.9618,76.9759,5.95775,6.36071,75.5689,3.47994
-2.0214,106.881,2.84649,-2.0214,112.636,7.03427,-4.89942,132.165,4.36478,-7.77744,83.8566,18.4821,-22.1682,86.7346,13.6735,-16.4115,106.881,7.90145,12.3822,106.881,7.79902,18.1254,89.6127,10.8371,4.29549,92.7188,20.3136,-10.8699,76.9759,5.98648,6.61265,75.2226,3.51194
-1.76685,106.626,2.81659,-1.76685,112.382,7.07697,-4.64487,131.874,4.37231,-7.52289,83.6021,18.8392,-21.9135,86.4801,13.9702,-16.1569,106.626,7.85683,12.6232,106.626,7.81393,18.3798,89.3581,10.3609,4.71015,92.3041,20.0648,-10.9618,76.9759,6.03743,6.8672,74.968,3.52193
-1.42048,106.374,2.74437,-1.42048,112.13,7.08199,-4.2985,131.727,4.37405,-7.17652,83.3501,19.2563,-21.6214,86.2281,14.2879,-15.8649,106.374,7.75602,12.9696,106.374,7.8713,18.7261,89.1062,9.89265,5.44672,92.0521,19.8476,-11.1657,76.9759,6.08298,7.21357,74.7161,3.52831
-0.9646,106.116,2.66456,-0.9646,111.872,7.0575,-3.84262,131.673,4.37075,-6.72063,83.0918,19.5321,-21.3256,85.9698,14.4706,-15.5692,106.116,7.59161,13.4255,106.116,7.94106,19.1818,88.8479,9.55766,6.34381,91.886,19.656,-11.352,76.9759,6.11085,7.61509,74.4578,3.54094
-0.574409,105.916,2.58737,-0.574409,111.672,6.97659,-3.39806,131.659,4.26035,-6.27608,82.892,19.5209,-21.2274,85.77,14.3454,-15.471,105.916,7.29819,13.87,105.916,7.97564,19.5719,88.6481,9.47601,6.92438,91.8725,19.4696,-11.4577,76.9215,6.13331,7.89953,74.258,3.54938
-0.42896,105.81,2.51944,-0.42896,111.566,6.82024,-3.0925,131.659,3.97732,-6.02488,82.7863,19.2679,-21.4722,85.6643,13.8354,-15.7157,105.81,6.84539,14.1756,105.81,7.96101,19.7173,88.5423,9.60537,6.92026,91.9706,19.3113,-11.4985,76.8157,6.15736,7.85872,74.1522,3.53338
-0.628771,105.77,2.47517,-0.628771,111.526,6.58466,-2.94593,131.659,3.59987,-6.03843,82.7455,18.9236,-21.9679,85.6235,13.0458,-16.2113,105.77,6.30471,14.3222,105.77,7.91889,19.5176,88.5015,9.77958,6.39855,92.0217,19.2712,-11.5121,76.5751,6.19751,7.45497,74.1114,3.48783
-1.12472,105.81,2.48025,-1.12472,111.566,6.306,-2.89157,131.713,3.25096,-6.33044,82.7863,18.6824,-22.464,85.6643,12.2232,-16.7073,105.81,5.82686,14.3765,105.81,7.84706,19.0218,88.5423,9.78114,5.75302,91.9706,19.3414,-11.5121,76.2654,6.25525,6.8672,74.1522,3.44347
-1.7533,105.916,2.54174,-1.7533,111.672,6.04662,-2.87802,131.819,2.98187,-6.8672,82.892,18.6632,-22.797,85.77,11.5854,-17.0401,105.916,5.52955,14.3901,105.916,7.74749,18.3934,88.6481,9.54152,5.28757,91.8725,19.4203,-11.5121,75.9874,6.32095,6.33044,74.258,3.44493
-2.30361,106.103,2.64973,-2.30361,111.858,5.87515,-2.87802,132.005,2.80061,-7.50933,83.0783,18.8721,-22.9571,85.9563,11.2344,-17.2002,106.103,5.44173,14.3901,106.103,7.6378,17.8433,88.8343,9.18531,5.05916,91.8725,19.4763,-11.5121,75.8209,6.38476,5.98407,74.4442,3.51468
-2.64998,106.307,2.79059,-2.64998,112.062,5.82944,-2.87802,132.209,2.6776,-8.05964,83.2822,19.1665,-23.0115,86.1602,11.1373,-17.2545,106.307,5.51249,14.3901,106.307,7.54425,17.497,89.0382,8.88602,4.86236,91.9706,19.6164,-11.5121,75.7729,6.42809,5.82395,74.6482,3.64234
