196.91,111.85,201.8,106.46,190.5,107.7,210.57,111.8,182.68,114.2,227.45,144.68,169.2,142.65,256.32,186.73,156.88,185.99,245.93,163.39,189.37,201.67,214.02,223.06,172.28,220.7,239.67,263.49,132.78,253.5,216,284,160,284
196.32,111.75,201.26,106.21,189.88,107.47,210.13,111.55,182.08,113.77,227.25,143.62,168.83,142.45,256.49,186.83,156.47,186.05,244.92,162.61,188.61,201.56,213.69,222.95,171.54,220.73,239.51,263.49,132.42,253.08,212,284,164,284
195.95,111.72,200.82,105.98,189.43,107.3,209.66,111.21,181.58,113.23,227.14,143.49,168.75,142.24,256.73,186.58,156.33,185.82,243.53,161.33,188.59,201.14,213.68,222.4,171.37,219.98,239.21,262.83,132.42,252.52,212,284,160,284
195.53,111.76,200.4,105.65,188.98,107.29,209.26,110.11,181.37,113.29,226.58,142.83,168.41,141.91,256.5,185.39,155.63,185.06,241.83,160.54,187.95,200.87,213.74,222.5,171.24,219.85,238.96,262.85,132.18,252.08,212,284,160,284
195.16,111.55,199.93,105.4,188.5,107.17,208.87,109.49,181.23,113.27,226.17,142.28,168.15,141.49,255.75,184.99,155.51,184.96,240.48,159.5,187.83,200.47,213.29,222.2,170.58,219.63,238.49,262.08,131.99,251.82,212,284,160,284
194.64,111.53,199.44,105.23,187.99,107.05,208.72,109.22,180.76,113.01,226.39,143.1,167.65,141.3,255.43,184.38,155.87,184.91,239.28,158.95,188.33,200.01,213.32,221.47,170.47,219.06,238.26,261.7,131.66,251.42,212,284,160,284
193.99,111.04,199.13,104.75,187.48,106.58,208.9,108.95,180.67,112.74,226.06,142.75,168.02,140.59,253.29,183.1,155.68,184.74,236.98,157.49,188.24,199.15,213.34,220.89,170.16,218.33,237.98,260.66,131.81,250.46,212,284,160,284
193.68,109.58,198.5,103.43,187.14,105.34,208.28,107.15,180.54,111.03,226.8,141.05,168.18,138.79,254.35,181.37,155.37,183.27,236.59,156.28,188.07,197.55,213.4,219.62,170.79,217.22,238.28,259.34,131.79,249.14,208,284,156,280
193.67,107.69,198.24,101.36,187.06,103.4,208.32,104.46,180.27,109.1,227.95,138.34,168.06,136.07,254.47,178.32,155.41,181.08,235.14,154.25,187.85,194.45,213.21,214.86,171.6,212.75,238.26,256.7,132.05,246.94,212,284,160,280
193.42,105.51,198,98.919,186.53,100.97,207.73,101.59,180.08,106.44,228.5,134.4,168.17,133.14,253.13,174.78,156.27,177.53,233.3,150.68,187.84,191.69,213.39,212.7,171.76,210.36,238.31,255.04,132.23,243.38,212,284,160,284
192.67,103.93,197.37,97.35,185.96,99.439,207.39,99.984,180.11,104.63,228.44,131.65,168.23,131.43,252.56,172.9,155.73,176.08,229.6,148.27,188.58,191.04,214.56,210.07,172.03,207.34,238.68,253.17,131.91,241.3,212,284,160,280
