RootX,RootY,RootZ,neckX,neckY,neckZ,headX,headY,headZ,torsoX,torsoY,torsoZ,lshoulderX,lshoulderY,lshoulderZ,lelbowX,lelbowY,lelbowZ,lwristX,lwristY,lwristZ,lhandX,lhandY,lhandZ,rshoulderX,rshoulderY,rshoulderZ,relbowX,relbowY,relbowZ,rwristX,rwristY,rwristZ,rhandX,rhandY,rhandZ
-1.05536,6.20308,483.602,9.07827,2.38374,12.8345,1.04703,0.200368,5.94556,0,0,0,-19.524,14.0717,-55.7497,-25.4337,37.3476,50.315,-13.4034,-25.5786,32.328,-6.70172,-12.9218,15.7375,-15.2012,4.42652,-10.0752,-11.3987,17.1624,-11.7241,0.561808,11.5695,-5.732,0.280904,5.79657,-2.2571
12.154,-2.15036,493.135,11.5964,2.2739,2.66016,2.22962,-0.208112,1.05647,0,0,0,72.632,129.613,-64.3333,-77.0645,-82.9355,94.5697,1.23896,53.0793,61.235,0.619479,25.808,29.9654,-14.0457,16.9555,-6.91734,-14.2633,30.5876,-14.1342,-1.30204,20.3437,-7.30768,-0.651019,10.116,-3.03181
14.8381,-6.5406,504.388,17.2214,0.566341,-11.3179,4.6587,-1.81653,-5.64909,0,0,0,129.166,159.087,-74.1418,-83.4093,-140.603,102.818,-2.79159,90.7512,66.7882,-1.3958,44.3421,32.7542,-38.2605,8.09408,-31.828,-21.237,21.7492,-23.6046,10.0862,14.6113,-13.2142,5.0431,7.30761,-5.85565
5.18816,-4.0948,510.489,24.6422,-2.11702,-17.3883,7.77291,-4.12997,-8.56821,0,0,0,104.976,82.5853,-80.2629,-39.7877,-85.593,67.0336,-21.5545,54.8609,43.5656,-10.7773,26.6878,21.3774,-88.133,-31.8234,-84.3785,-30.214,-16.9387,-36.2238,35.2241,-10.5676,-20.9312,17.612,-5.05528,-9.50057
-1.01555,2.20439,510.128,26.2424,-3.00398,-19.235,8.41566,-4.77141,-9.45577,0,0,0,34.7961,3.4713,-63.3317,-4.72836,4.6585,29.5635,-26.7685,-4.00081,18.9257,-13.3843,-2.2565,9.20762,-114.363,-69.0417,-115.45,-31.8942,-57.9969,-38.2556,50.9146,-37.3561,-21.9763,25.4573,-18.2293,-9.93486
2.52639,9.02591,506.298,27.5364,-2.78669,-18.7626,9.08193,-4.70417,-9.22014,0,0,0,-40.2364,-16.2194,-8.667,-5.68598,54.7249,9.80234,-3.88814,-36.6371,5.34099,-1.94407,-18.3,2.32162,-68.928,-61.0754,-77.6605,-15.9917,-68.6193,-19.7553,33.6709,-44.4076,-10.2721,16.8354,-21.7346,-4.28527
7.11927,8.20127,502.294,36.3029,-2.94381,-11.7578,13.211,-5.50913,-5.85279,0,0,0,-72.1327,11.5169,52.8161,-23.1746,33.4878,5.1715,27.4561,-22.7294,1.52737,13.728,-11.4438,0.207786,20.3505,-20.4729,6.75776,9.42144,-50.3823,10.2635,-5.6712,-32.6149,8.49034,-2.8356,-15.9669,4.70325
5.68192,0.673154,495.379,36.2182,-0.721121,1.96144,13.4804,-3.95771,0.726912,0,0,0,-57.4497,43.4212,77.0504,-35.5489,-16.6914,11.5468,41.2521,10.0847,5.37021,20.6261,4.71801,2.00448,80.2154,10.0025,72.2856,20.4043,-17.6073,27.7315,-35.6336,-11.221,19.1971,-17.8168,-5.44123,9.76649
0.638679,-2.27754,486.17,14.4399,3.56767,13.8206,3.65436,0.49847,6.42672,0,0,0,-40.5156,41.3344,63.955,-30.2361,-28.5547,12.5978,33.7937,17.8833,6.16268,16.8968,8.57196,2.42768,74.5158,19.0077,79.1164,12.395,16.2159,22.6239,-38.963,10.8541,15.7482,-19.4815,5.41785,8.03402
-2.80663,-0.0983609,482.482,-12.4546,6.09088,15.9618,-8.8702,3.9856,7.49371,0,0,0,-29.0006,18.2123,39.6868,-14.4674,-14.9873,5.17148,19.018,9.09704,1.53127,9.50902,4.27151,0.213684,23.1503,14.4949,33.9718,-1.57033,30.2446,3.95009,-19.0423,19.953,4.00515,-9.52114,9.87644,2.3868
